GivenName,MiddleInitial,Surname,StreetAddress,City,ZipCode,EmailAddress,TelephoneNumber,GUID,Latitude,Longitude,Kilograms,Centimeters,Company,Occupation
Virginia,C,Martell,"726 Bubby Drive",Austin,78741,VirginiaCMartell@dayrep.com,512-369-9392,4aa46155-d83d-4956-a5ee-35243e54e989,30.168325,-97.673741,91.2,160,Rink's,"Paper coating machine operator"
Howard,L,Bullock,"1611 Davis Place",Toledo,43604,HowardLBullock@rhyta.com,419-241-7132,ee368530-ebf7-4bbc-a3a2-3977473e8e45,41.629771,-83.480593,84.2,171,"Thrift Auto Parts",Exterminator
Nydia,A,Grant,"11 Wexford Way",Aiken,29801,NydiaAGrant@jourrapide.com,803-357-1369,53fed67e-3a0a-4389-a561-f2e09cf8e078,33.56244,-81.721964,64.7,157,"Northern Reflections",Postmaster
Jimmy,R,Woolbright,"4972 Bryan Avenue","White Bear Lake",55110,JimmyRWoolbright@armyspy.com,651-426-9068,7cd44b51-f769-422c-9468-712edcd94c42,45.169788,-92.912509,107.6,166,"Fradkin Brothers Furniture","Clerical assistant"
Ericka,F,Clark,"4989 Jones Street",Dallas,75234,ErickaFClark@teleworm.us,817-501-8965,8f1cadaa-144d-437c-80b9-33681cb2fa78,32.826213,-96.795652,91.3,166,"Saturday Matinee","Revenue agent"
Pamela,S,Winter,"4605 Buckhannan Avenue",Liverpool,13088,PamelaSWinter@gustr.com,315-453-1864,7dff56a1-5876-49db-87b1-acdfed185368,43.025311,-76.210474,95.7,170,"Earthworks Garden Kare","Neuroscience nurse"
Jeannette,R,Bean,"989 Broaddus Avenue",Murray,42071,JeannetteRBean@superrito.com,270-293-1536,b0b63133-defd-48b9-9fd6-485e7ff08772,36.734631,-88.303325,70.5,167,"Twin Food Stores",Judge
Ashley,J,Pratt,"2344 Carolyns Circle",Dallas,75225,AshleyJPratt@armyspy.com,214-692-6300,de882a21-01c9-4970-9c37-39e285283fce,32.772826,-96.801878,90.6,160,"Flipside Records","Developmental disabilities nurse"
William,W,Trout,"2419 Southern Avenue",Kiester,56051,WilliamWTrout@fleckens.hu,641-298-9705,caaf4582-4b5a-4e28-84bc-55d2dd63d400,43.629177,-93.668412,79.4,180,"Rogersound Labs","Unlicensed assistive personnel"
Bobby,M,Beasley,"1806 Findley Avenue",Amidon,58620,BobbyMBeasley@einrot.com,701-879-1453,b5d1e281-ee64-4eb7-9bfb-adc31baed0fc,46.558222,-103.414641,67.3,169,"Cougar Investment","Heavy vehicle and mobile equipment service technician"
Huey,L,Taylor,"4727 Skips Lane","Bullhead City",86442,HueyLTaylor@cuvox.de,928-542-1483,8e136d61-5c9d-4da7-9735-44a02659f9c5,35.042167,-114.476529,94.7,178,"Red Baron Electronics","Heat treating equipment operator"
Anthony,J,Wheeler,"2712 Reynolds Alley","Los Angeles",90017,AnthonyJWheeler@superrito.com,562-366-8292,e36c694f-6376-410a-adeb-9ddc9a44b302,34.054342,-118.240001,85.4,184,"Music Den","Computer database administrator"
Ernest,B,Whitesides,"4568 Limer Street",Norcross,30092,ErnestBWhitesides@teleworm.us,706-409-6482,419df893-8d8f-4ebc-a125-7886be84b607,33.926386,-84.176125,66.0,170,Monlinks,Florist
Cynthia,M,Ponce,"363 Davis Lane",Denver,80202,CynthiaMPonce@teleworm.us,720-346-5539,6a5aab9a-6e23-44d3-8b10-2fcb57e8f3c1,39.761128,-105.059886,98.7,172,"Electronic Geek","Furnace installer"
Michael,F,Voss,"1763 Calvin Street",Baltimore,21201,MichaelFVoss@rhyta.com,443-409-8845,0bd03586-847d-4e50-b804-4395e994b890,39.351573,-76.656488,84.6,183,"Cut Rite","Industrial hygienist"
Matthew,B,Richard,"2660 Platinum Drive",Bridgeville,15017,MatthewBRichard@rhyta.com,724-840-9488,ad92ede0-15be-4b41-9363-f7b665a966e1,40.338654,-80.077665,108.0,168,"Erb Lumber","Punch card operator"
Crystal,G,Sawyer,"3455 My Drive","New York",10013,CrystalGSawyer@armyspy.com,347-342-6860,7874950b-434a-4cfe-b732-7e53825f37d2,40.713841,-74.080754,62.5,161,"Chess King","Telecommunications line installer"
Lawrence,T,Henderson,"894 Clifford Street",Berkeley,94704,LawrenceTHenderson@fleckens.hu,510-649-4917,92236f9f-2a70-4b1e-9549-72b2612c14fb,37.822062,-122.230348,66.2,172,"Starship Tapes & Records","Lease operator"
Peggy,T,Polo,"4158 Copperhead Road","New Haven",06511,PeggyTPolo@superrito.com,860-662-2020,9f763c76-cc3c-4f57-b50c-0e7802038c92,41.240283,-72.965813,51.6,172,"WWW Realty","Data entry clerk"
Willie,M,Mejia,"2508 Big Indian",Kenner,70065,WillieMMejia@einrot.com,504-712-2670,d7bff5ea-adde-4cd4-b065-dbc381daf49e,29.961113,-90.193423,94.1,174,Gantos,"Shipping, receiving, and traffic clerk"
Lisa,C,Hanson,"1062 Oral Lake Road",Minneapolis,55401,LisaCHanson@jourrapide.com,952-516-4560,8a1c7e8d-ae5f-4e01-9075-bc9de385c635,45.034783,-93.190939,74.0,169,"Market Basket",Phlebotomist
Alice,V,Big,"3495 Post Avenue","White Earth",56591,AliceVBig@einrot.com,218-983-0840,5e14ff76-bb1a-403f-81a3-25dc0ad35e6a,47.048162,-95.940348,76.7,173,HouseWorks!,"Professional property manager"
Christopher,M,Nash,"2500 Nutters Barn Lane","Des Moines",50311,ChristopherMNash@rhyta.com,515-633-1392,aad16ba2-0632-407a-b1ff-32c61c3b2008,41.62464,-93.632554,83.0,173,Sportswest,"Building cleaning worker"
Lori,M,Morgan,"3753 Hummingbird Way",Boston,02110,LoriMMorgan@teleworm.us,781-926-5813,1d5c3b94-bd0d-4326-a5c8-ec3f02617d02,42.337884,-70.993648,55.9,163,"Family Toy","Logging equipment operator"
James,C,Westfall,"4614 Overlook Drive","Hartford City",47348,JamesCWestfall@jourrapide.com,765-331-0996,f80e75dd-7f60-443d-a179-69e3031487b8,40.393397,-85.42148,71.5,166,"Sunny Real Estate Investments","Merchant marine sailor"
Faith,T,Tang,"765 Lynch Street","New Berlin",53151,FaithTTang@gustr.com,920-917-0678,38594f57-f78e-4dac-b2d9-5cec10d12d8c,42.939354,-88.18118,83.5,160,"Bold Ideas","Drywall installer"
Clair,P,Fugate,"4856 Flinderation Road","Oak Park",60300,ClairPFugate@einrot.com,708-386-7297,043746d2-8e12-4bc0-a2e3-89b4dd315dcb,41.924806,-87.714295,111.7,169,"Audio Visions","Trauma nurse"
Winifred,S,Killeen,"862 Hickory Ridge Drive","Las Vegas",89119,WinifredSKilleen@fleckens.hu,702-739-3505,33152b80-9370-417e-a0fd-8ab698ef5fd3,36.184306,-115.22301,90.4,161,"Madcats Music & Books","Administrative office manager"
Tony,L,Fielden,"3328 Cardinal Lane",Mattoon,61938,TonyLFielden@einrot.com,217-230-0684,f2c09fbb-a279-4652-9499-fea8f007f13f,39.572729,-88.352337,65.6,174,"Plan Smart",Pipelayer
Carol,J,Wood,"2468 Ashcraft Court","La Mesa",92041,CarolJWood@jourrapide.com,619-465-5947,dbdb1394-4b4a-4513-be45-8ce561f6972c,32.856682,-117.06112,86.3,161,"Action Auto","Corporate accountant"
Chris,I,Davis,"1357 Seneca Drive",Portland,97214,ChrisIDavis@fleckens.hu,503-963-6877,a9c8d376-20d8-46f8-a370-62457cdf9fe3,45.521104,-122.551017,63.9,168,Wag's,"Optometry doctor"
Eddie,L,Gilson,"4600 Daylene Drive",Dundee,48131,EddieLGilson@jourrapide.com,734-529-3073,b934af19-af6f-41f6-bf1c-d3242a58e1a6,41.963701,-83.748203,67.1,162,Ulbrich's,"Shipping clerk"
Harold,S,Martin,"2481 Nutter Street","Kansas City",64105,HaroldSMartin@gustr.com,816-278-9153,b27d8ee8-93ce-4fa8-b53a-184e2758da49,39.09244,-94.536941,72.4,175,"O.K. Fairbanks","Medical equipment preparer"
Kimberly,M,Buchanan,"2444 Sherwood Circle",Lafayette,70506,KimberlyMBuchanan@superrito.com,337-277-7992,6b9fd9ab-ef36-4138-8a49-37a80ea2713a,30.18399,-92.024096,72.5,172,"Magna Wealth","Osteopathic doctor"
Kenneth,L,Gump,"4636 Arbutus Drive",Miami,33012,KennethLGump@armyspy.com,305-827-1036,617a00e2-f779-4e11-b4cc-4f0525c5f5e0,25.821904,-80.216806,106.8,185,"Plunkett Home Furnishings","Curriculum specialist"
James,A,Rael,"4356 Barnes Street",Orlando,32809,JamesARael@gustr.com,407-251-0002,177c24b4-4e88-4f4c-90f9-1b46ba125819,28.455251,-81.459764,102.2,185,Multicerv,"Financial clerk"
Andrea,S,Sartain,"4430 Coal Road",Pittston,18640,AndreaSSartain@teleworm.us,570-655-5919,37240045-045c-4a8b-8e12-9d788b361304,41.285744,-75.671439,88.8,157,"Hit or Miss","Administrative technician"
Miguel,A,Robinson,"2626 White Lane","Fort Valley",31030,MiguelARobinson@superrito.com,478-827-0569,e20e93f1-4a56-4210-a239-05f27df83f32,32.493321,-83.818385,105.8,170,Protean,"Watch repairer"
Shirley,S,Kelly,"2987 Capitol Avenue","New Castle",47362,ShirleySKelly@cuvox.de,765-519-2685,c908375f-75e3-4e21-b9c4-0dd2ec74dadd,40.000471,-85.289273,82.5,156,"MacMarr Stores",Forester
Rick,L,Wenger,"1858 Radford Street",Louisville,40299,RickLWenger@jourrapide.com,502-221-4177,aa0b045e-9b98-4150-a7d1-9d6535d74fac,38.156851,-85.506221,62.9,167,"Dream Home Improvements","Urban and regional planner"
Robert,A,Stepp,"839 Nutters Barn Lane",Clarion,50525,RobertAStepp@teleworm.us,515-602-0348,3910cbe4-ea76-4b5d-9ac7-1e535e97d37d,42.763792,-93.756859,79.3,175,"Sunflower Market","Clinical nurse specialist"
Gregory,P,Manns,"1572 Red Bud Lane",Wallingford,06492,GregoryPManns@superrito.com,860-984-6155,611ca2cd-a5cf-4d79-97c0-d1d607670747,41.48225,-72.791568,72.1,183,"King Carol","Purchasing manager"
Eduardo,M,Bartlett,"2843 Junkins Avenue",Albany,31701,EduardoMBartlett@armyspy.com,229-420-1506,52408be7-64dd-4d6a-b09e-67b461e163b8,31.486449,-84.209136,102.7,165,"Builders Square","Mechanical inspector"
Desmond,J,Himes,"2315 Reynolds Alley","Los Angeles",90017,DesmondJHimes@armyspy.com,562-343-5101,6315b788-b791-4946-867a-116190b8c3df,34.041731,-118.182778,74.2,163,"Good Times","Front office manager"
Pamela,J,Hogan,"2101 Tea Berry Lane",Ashland,54806,PamelaJHogan@einrot.com,715-782-6356,26353a84-d8cf-4a6b-a265-12b4556223e3,46.640243,-90.9306,57.3,173,"Weenie Beenie","Scraper operator"
Margaret,G,Jolley,"282 Tibbs Avenue",Baker,59313,MargaretGJolley@gustr.com,406-778-4805,768b378e-98ce-4ecf-a149-0f98b1d44c51,46.246885,-104.326725,97.3,159,"Architectural Genie",Newscaster
Rita,A,Miller,"2286 Rainbow Drive",Canton,44702,RitaAMiller@einrot.com,330-458-6944,502fd734-324a-49c6-9445-28ba082db334,40.735795,-81.288624,81.3,166,Practi-Plan,"Production assistant"
Wanda,B,Jensen,"4761 Mudlick Road",Oroville,98844,WandaBJensen@rhyta.com,509-556-5794,080489fb-7f79-454d-a7c8-144b2b9e69dd,48.806596,-119.137332,95.0,156,"Sky High Financial Advice","Process technician"
Ernest,N,Collins,"3754 Euclid Avenue","San Luis Obispo",93401,ErnestNCollins@gustr.com,805-365-9543,fc97e1c8-beae-40ce-9db1-5e77a5eaeba3,35.236098,-120.597083,100.1,163,Romp,"Crane and tower operator"
April,A,Gant,"4906 Cedar Lane",Boston,02210,AprilAGant@fleckens.hu,617-608-6298,abde5de0-ba68-4fec-8ce3-500db79734c4,42.333347,-71.040235,80.9,157,"Square Circle","Real estate assessor"
Karma,R,Allard,"4827 Wood Street",Houma,70360,KarmaRAllard@rhyta.com,985-879-6578,3fce25ca-07e9-4548-9068-98e1ec79d1fc,29.67017,-90.903746,64.8,163,Foxmoor,"Cable splicer"
Blair,S,Shaw,"4992 University Hill Road",Fithian,61844,BlairSShaw@fleckens.hu,217-548-9778,c5658ca2-ea3d-447c-ab88-d09bf890ebaf,40.234001,-87.921342,97.2,186,Adaptabiz,"Ticket taker"
Nolan,M,Keenan,"1596 Seneca Drive",Tigard,97223,NolanMKeenan@gustr.com,503-901-3838,008b9238-c709-435c-a12e-942f4a51f305,45.466041,-122.823951,76.4,174,"Present Company",Webmaster
Kathleen,M,Norris,"3633 Leisure Lane","Simi Valley",93065,KathleenMNorris@superrito.com,805-520-6685,be182c9d-cd0e-4bf8-80ad-9c810b393840,34.199004,-118.722957,83.0,170,"House of Gas",Caster
Teresa,P,Cooper,"4942 Arlington Avenue",Knoxville,37917,TeresaPCooper@einrot.com,865-940-8488,b154849e-3a0f-4550-859f-a696bb7124fc,36.052866,-83.831539,76.6,160,"Realty Zone","Assistant cook"
Betty,F,Balbuena,"2174 Maryland Avenue","Feather Sound",34622,BettyFBalbuena@fleckens.hu,727-573-4028,25523b54-c121-478a-a24b-4b08e39c9890,27.847933,-82.736664,48.8,161,"Rose Records",Physiologist
Larry,D,Blackwelder,"3100 Fleming Street",Columbus,31901,LarryDBlackwelder@einrot.com,334-426-0259,375ebdda-0981-4918-ba90-5010a884d09c,32.53939,-85.084317,104.8,176,"National Auto Parts",Florist
Lottie,J,Kingsley,"431 Red Dog Road",Charlotte,28202,LottieJKingsley@jourrapide.com,704-269-1702,fecb76f2-f031-4a65-820f-15a7396b01b5,35.308334,-80.751778,77.9,161,SoundTrack,Professor
Claude,N,McFall,"2428 Agriculture Lane",Morgantown,26505,ClaudeNMcFall@jourrapide.com,304-943-2858,d4d72c64-151f-4232-9c4a-405b81f85ce4,39.564696,-79.854298,115.8,171,"Bell Markets","Layout artist"
Wanda,S,Baldridge,"4648 Mount Tabor","New York",10004,WandaSBaldridge@teleworm.us,914-532-9324,73423150-2972-4f77-8691-da3690db8273,40.788019,-74.116272,66.5,170,"Friendly Advice","Osteopathic doctor"
Sonya,A,Smith,"173 Charack Road",Bedford,47421,SonyaASmith@dayrep.com,812-278-2515,2c9acbf5-c4de-4ff5-bc29-2369fe570424,38.766486,-86.559638,51.9,173,"Bell Markets","Lodging manager"
Troy,K,Johnson,"1411 Hanover Street",Whitestone,11357,TroyKJohnson@gustr.com,917-670-2479,8f28237c-4b1a-49ac-b0c0-e2f684feba64,40.826687,-73.795796,97.8,174,"Gas Zone","Aircraft surfaces assembler"
Paula,T,Carey,"237 West Street","Comstock Park",49321,PaulaTCarey@fleckens.hu,616-785-2005,80b0373e-a9e2-4e98-939e-26e8e2b03168,43.116224,-85.605794,75.7,172,"The Original House of Pies",Airman
Tiffany,R,Bennett,"4999 Raintree Boulevard",Indianapolis,46240,TiffanyRBennett@gustr.com,765-218-2291,c5a015ac-df13-452d-b9fb-ccd37da60ade,39.913126,-86.15913,54.5,167,Tianguis,"Multiple machine tool setter"
Susan,J,Hofer,"2014 Hawks Nest Lane","Saint Louis",63130,SusanJHofer@teleworm.us,314-727-6346,2ec5fca3-c6f9-4ac7-9d99-fe1bd454c9b7,38.708555,-90.27204,75.6,160,"Turtle's Records & Tapes","Administrative supervisor"
Tammie,S,Rodriguez,"1974 Murphy Court",Anaheim,92801,TammieSRodriguez@gustr.com,951-852-5613,68668cda-0a21-4542-ae24-acb4c1b85f7a,33.918192,-117.881594,61.1,165,"Olson's Market","Staff development director"
Susan,X,Howe,"2488 West Side Avenue",Wayne,07477,SusanXHowe@cuvox.de,201-281-3927,e7be883c-5747-4a34-8933-8f469513f699,40.931032,-74.401616,91.0,158,"Wheels Discount Auto","Bindery machine tender"
Ralph,M,Brooks,"2697 Woodbridge Lane",Detroit,48219,RalphMBrooks@dayrep.com,313-435-1452,de60b4de-3f05-46a4-a86f-9e5baa45a501,42.513612,-83.228425,104.7,177,"Polk Brothers","Unclaimed property officer"
Jerry,R,Sipple,"989 Gladwell Street",Munford,38058,JerryRSipple@dayrep.com,901-840-1815,9adf0032-6661-4df7-98b9-01dce63d9b34,35.477965,-89.895276,62.4,179,Nobil,"Public housing manager"
Precious,T,McGhee,"3719 Elm Drive",Manhattan,10016,PreciousTMcGhee@dayrep.com,646-424-8817,3a279a94-def5-458a-b4d5-4131660ee400,40.85352,-73.967773,72.5,163,"Parts America","Receiving clerk"
Homer,F,David,"1480 Davisson Street","West Lebanon",47991,HomerFDavid@einrot.com,765-893-9106,88062c76-87f4-473e-9c6d-7089299ed6a4,40.24999,-87.351686,107.4,178,"Fragrant Flower Lawn Services","Water resources engineer"
Garry,L,Hentz,"493 Henery Street",Wichita,67204,GarryLHentz@einrot.com,316-832-9512,a790f2ac-6a32-4488-8321-fe14e8241028,37.695051,-97.407795,66.6,181,"Baltimore Markets",Conciliator
Cynthia,T,Hale,"4877 Spring Avenue","Plymouth Meeting",19462,CynthiaTHale@rhyta.com,267-664-1458,2d5caf16-83f3-4d7a-8d38-c10f7239b56c,40.047442,-75.343803,73.9,170,"Simply Appraisals","Heating, air-conditioning, and refrigeration engineer"
Maria,M,Wilson,"3630 Spring Street",Springfield,62701,MariaMWilson@cuvox.de,217-805-7358,791fb826-9165-411a-a937-b953899fe008,39.816728,-89.681051,77.8,166,"Huffman and Boyle",Electrotyper
Lynn,R,Velazquez,"1203 Kuhl Avenue",Norcross,30071,LynnRVelazquez@armyspy.com,678-728-3188,910d667d-85f1-48c4-9a7a-8fc64ae8f10b,33.852977,-84.259589,100.5,167,"Mansmann's Department Store",Printmaker
Elizabeth,D,Cook,"3405 Late Avenue","Oklahoma City",73102,ElizabethDCook@jourrapide.com,580-818-4350,bf5a1f69-6a06-4d51-9fce-3038ac6b6ae7,35.373446,-97.60365,95.0,172,Gallenkamp,"Enlisted personnel"
James,C,Monson,"513 Golden Street",Miami,33135,JamesCMonson@gustr.com,305-642-2264,a3fcbefd-0e3d-4e24-8ce7-18a39a5002e0,25.793135,-80.300215,112.4,174,"Sholl's Colonial Cafeteria","Head hunter"
Michael,V,Koch,"2591 Farland Avenue","San Antonio",78212,MichaelVKoch@armyspy.com,830-444-0173,2b33b892-77d3-490e-9eb9-f3f3f4845510,29.466621,-98.488951,113.9,183,"Simple Solutions","Residential advisor"
Erika,C,Miller,"1771 Parkway Drive","Sierra Vista",85635,ErikaCMiller@gustr.com,520-458-4628,02570e4d-d975-453b-b6c1-4b398cf5791c,31.684272,-110.081216,100.2,160,"Asian Junction","Two-stroke engine mechanic"
Paul,S,Carolan,"2871 Eagles Nest Drive","Cedar Grove",95667,PaulSCarolan@armyspy.com,530-647-5184,7ba9774a-7008-464e-bbdc-90eb371b8c83,36.745264,-118.754396,106.1,186,"Little Tavern","Loan closer"
Christopher,L,Myers,"4539 Elmwood Avenue",Newark,19714,ChristopherLMyers@cuvox.de,484-210-9096,2cc02e70-e9d0-4e4b-b0b6-0377d6df2cc1,39.648055,-75.765532,81.1,183,"Carrols Restaurant Group","Worker compensation coordinator"
John,D,Preiss,"1893 McKinley Avenue",Englewood,80112,JohnDPreiss@teleworm.us,303-790-3155,7a2b3148-ac22-4af9-a920-c9b96765f753,39.660598,-104.921732,108.0,163,"Peter Reeves","911 operator"
Patricia,F,Badgley,"13 Benedum Drive",Suffern,10901,PatriciaFBadgley@einrot.com,845-369-7884,4e75ef07-fade-43c1-a8a2-07ef6bfca0f8,41.126682,-74.134087,64.8,169,"Williams Bros.","Range manager"
Jerry,T,Shryock,"3945 Elliot Avenue",Seattle,98101,JerryTShryock@rhyta.com,206-504-8797,f8551c69-4c66-4add-822c-2da9f6eadd1b,47.695067,-122.422363,74.4,178,"Home Quarters Warehouse","Infection control nurse"
Teresa,J,Grant,"2259 Spring Haven Trail",Newark,07102,TeresaJGrant@rhyta.com,973-685-6620,07de20e4-301e-4d1f-bde3-c87dea6a5f7d,40.820528,-74.247129,51.5,155,"Tower Records","Municipal court judge"
John,W,Flores,"467 Eagles Nest Drive",Chico,95926,JohnWFlores@jourrapide.com,530-586-6878,74e23d8c-4d5f-49de-8aa8-2c1404a96021,39.814444,-121.889841,74.4,175,"First Choice Garden Maintenance","Rigging slinger"
Lisa,J,Parsons,"869 Grim Avenue","San Diego",92101,LisaJParsons@armyspy.com,619-687-7426,509d90bd-6d59-4e13-b802-6a8d7a7b8d5a,32.747985,-117.182088,89.4,154,"Alladin's Lamp","Documentation specialist"
Courtney,R,McHenry,"1117 Everette Alley",Miami,33128,CourtneyRMcHenry@teleworm.us,954-793-0279,d728a780-62df-4b72-a558-25e2b4bc45a8,25.761531,-80.14138,67.3,173,"Edge Garden Services","Career-technical teacher"
Leonore,N,Williams,"2689 Parrish Avenue",Salinas,93901,LeonoreNWilliams@superrito.com,831-203-6664,6f2e7b83-2d82-4758-bb9b-11b88bacc133,36.579539,-121.547107,75.6,167,"Magna Consulting","Industrial maintenance worker"
Jacob,S,Poore,"1282 Dawson Drive","Little Rock",72211,JacobSPoore@rhyta.com,501-819-4753,47e4c7bd-9c50-4717-a971-c4b8de56f48d,34.736005,-92.412312,67.3,182,Merrymaking,"Museum director"
William,N,Hill,"4927 Parkway Street",Lenwood,92311,WilliamNHill@cuvox.de,760-253-4177,17cdd368-c178-4845-97cc-de1ebd4b165d,34.947066,-117.030408,81.8,176,Warshal's,"Bicycle repairer"
Gary,A,McKinnis,"3036 Tree Top Lane","Plymouth Meeting",19462,GaryAMcKinnis@einrot.com,610-283-0566,686e9584-2cbe-47be-acfa-ca6f9411f4f2,40.173767,-75.375634,110.1,175,"Action Auto","Insurance manager"
Ruby,S,Cruise,"1475 Pickens Way",Longview,75601,RubySCruise@dayrep.com,903-399-8630,462ae586-4caf-4708-9bc8-719ba39acdbd,32.41931,-94.612898,56.5,163,"The Flying Hippo ","Recruiting manager"
Jimmy,F,Duffy,"2845 Pleasant Hill Road",Paramount,90723,JimmyFDuffy@fleckens.hu,562-237-6589,d35958c4-c3b1-4f0e-aafe-6d5e753ef8f5,33.895032,-118.223253,89.7,187,Opticomp,"Crushing, grinding, and polishing machine setter"
Allen,M,Harrison,"4142 Cost Avenue",Hyattsville,20783,AllenMHarrison@superrito.com,301-439-6298,f6678b5b-69f0-439a-9ad1-987286f8fccc,39.052274,-76.880534,71.9,174,"Block Distributors","Letterpress setter"
Ricky,S,Moore,"111 Carolina Avenue","Fort Collins",80525,RickySMoore@jourrapide.com,970-226-4663,e0c5b449-559c-4060-a11a-19320a5f1df1,40.477358,-105.128211,108.4,186,"Sofa Express",Undertaker
Frank,K,Pry,"1859 Froe Street",Kingwood,26537,FrankKPry@jourrapide.com,304-329-6559,640302c1-a172-4952-bc7d-9547c2ca84ed,39.549619,-79.670769,108.0,169,"L.L. Berger",Receptionist
Vivian,L,Sturm,"1273 Liberty Street",Dallas,75209,VivianLSturm@dayrep.com,214-902-8995,7306d9cd-6a56-4fb8-a464-1e5a8097b5d2,32.755513,-96.799967,92.2,171,"EXPO Design Center","Commercial pilot"
Benjamin,B,Lindsey,"1819 Pinnickinick Street",Seattle,98109,BenjaminBLindsey@gustr.com,360-761-1101,16155f2d-3f30-4c20-8d21-ac81605483b5,47.640404,-122.266743,78.0,178,"Solution Realty","Excavating and loading machine and dragline operator"
Gregory,K,Birge,"3445 Cabell Avenue",Nokesville,22123,GregoryKBirge@einrot.com,703-594-1970,54b893e2-62cd-42d0-92c5-e573577a2b3a,38.716132,-77.493099,97.5,183,"Boys Markets","Avionics technician"
Kevin,M,Morales,"3039 Wilmar Farm Road",Washington,20005,KevinMMorales@einrot.com,240-339-7440,723d1ee1-d1da-4dc8-bc42-d1ea85d2eb8f,38.858108,-76.944181,111.5,181,"Team Uno","Payroll and benefits specialist"
Roberto,N,Sakamoto,"4844 Traders Alley","Kansas City",64106,RobertoNSakamoto@rhyta.com,816-391-6083,c421e7eb-c3f9-413c-a569-4e4043395245,39.14341,-94.514199,111.6,184,"Solution Realty","Maintenance machinist"
Donald,J,Burris,"2147 Werninger Street",Houston,77056,DonaldJBurris@dayrep.com,832-793-0786,acc47222-88ed-48b3-9ff4-c4db4b38f14f,29.775846,-95.37994,93.0,183,"Bennett Brothers","Model maker"
Shane,L,Robinson,"56 Libby Street",Burbank,91505,ShaneLRobinson@dayrep.com,310-308-0976,1171f789-a7a6-4f63-8937-dcd83a71afac,34.111506,-118.318321,109.0,185,"Fresh Start","Training and development coordinator"
Joe,J,Turner,"2819 Saints Alley",Tampa,33619,JoeJTurner@dayrep.com,813-746-5024,701b2f92-65fe-4171-86e5-a7775d5b44ec,27.884303,-82.357739,77.7,184,"Olson's Market","Airport terminal controller"
Lori,T,Perrine,"2231 Briarhill Lane",Akron,44304,LoriTPerrine@superrito.com,330-281-3009,10b0a654-b906-4687-ae38-122cc1587fd4,41.002643,-81.522013,81.1,164,"Stop N Shop","Real estate appraiser"
Lindsey,E,Terpstra,"4477 Village View Drive","Fort Myers",33901,LindseyETerpstra@armyspy.com,239-986-4071,d2a4bcd4-b73c-4009-8e8c-adb73b7b1af7,26.715173,-81.872662,51.9,172,Nedick's,"Employment assistant"
Elizabeth,D,Renz,"515 Chapel Street",Rosenberg,77471,ElizabethDRenz@superrito.com,281-725-7256,af0561b9-eeae-4d59-b7b5-e2dddc25dbb0,29.507016,-95.869074,88.8,158,Monlinks,"Shuttle car operator"
Jamie,E,Larry,"533 Garrett Street",Philadelphia,19108,JamieELarry@teleworm.us,267-989-1606,ba26a5e1-4cce-4d2c-8880-6ab6cb82ca33,40.048295,-75.199114,113.9,187,"Castle Realty","Industrial property manager"
Rayna,C,McBroom,"1139 Charter Street",Winchester,66097,RaynaCMcBroom@dayrep.com,913-774-6479,878a4ea1-4c80-4a6e-8a43-af267e270e7b,39.248562,-95.235318,82.6,154,"S&W Cafeteria","Production machinist"
Keith,M,Trevino,"1024 Cunningham Court","Walled Lake",48390,KeithMTrevino@gustr.com,248-669-1936,e5aa8ea8-211e-4748-8d21-c65696d50c6d,42.585514,-83.422477,80.5,182,"Record & Tape Outlet","Cash manager"
Becky,C,Hentz,"926 Reeves Street",Newtonburg,54220,BeckyCHentz@rhyta.com,920-758-0895,c3d882b3-508a-4d7b-8b5f-5f6e5840b0da,44.000775,-87.673581,65.0,161,"Netcom Business Services","Direct care worker"
Orville,S,Hernadez,"741 Stonecoal Road","Liberty Center",43532,OrvilleSHernadez@dayrep.com,419-533-4401,64438bc4-7b80-4fb0-921f-254b5c8366ca,41.411379,-84.079282,99.1,184,"Plan Future","Chemical technician"
Sue,R,Gibbons,"4223 Elk Creek Road",Norcross,30071,SueRGibbons@dayrep.com,770-510-3544,a0288f3d-cd39-4ea9-a21b-45e19542f64b,33.936629,-84.284791,63.6,157,"Auto Palace","Systems software engineer"
William,J,Austin,"2913 Quincy Street",Philadelphia,19103,WilliamJAustin@dayrep.com,267-394-9912,63022a25-31aa-4815-8eb4-4051357344c0,39.863507,-75.246572,110.8,175,"Platinum Interior Design","Engine and other machine assembler"
Justin,C,Pierce,"4543 B Street",Eagan,55121,JustinCPierce@fleckens.hu,651-662-6598,c91ab258-73cd-4fac-869e-8fbca12d151b,44.767234,-93.22127,67.9,185,"Paul's Record Hut","Painting restorer"
Adam,T,Jones,"3267 Tecumsah Lane",Shreveport,71106,AdamTJones@armyspy.com,318-862-6068,d68e8311-51e9-4252-ba1f-54d8627a29a7,32.446159,-93.801487,65.1,186,Finast,"Defense attorney"
Drew,E,Tucker,"809 Cherry Tree Drive",Jacksonville,32202,DrewETucker@einrot.com,904-380-4923,61b35942-34ee-4441-b859-bed14a1c02af,30.361077,-81.710455,94.5,177,"Bodega Club","Executive secretary"
Cynthia,F,York,"1363 Crestview Terrace","Rock Springs",78880,CynthiaFYork@gustr.com,830-683-1204,23fb2a73-1026-4744-8b1d-222ef9cff587,33.813483,-98.238854,66.3,156,"Vitamax Health Food Center",Cardiologist
